track,album,lyrics
If I'm In Love,The Lonny Breaux Collection, i got a question i wanna ask my momma but shes been gone for some years now i need the answers i want to ask my friends but their to cool to be honest and shes gone take it the wrong way if i question her it just might break her heart man i cant ask my girl so im gonna ask lennon and ima ask donny and ima ask stevie and ima ask prince if im in love if im in love my headphones wont lie if im in love tell me tell me if im in love my headphones wont lie if im in love tell me tell me am i in love who the hell knows who purple rain is and am i standing in it i sing along to every single word though and i feel like i need them cause for all i know rocket love flew past me yesterday but i gotta know for sure so im gonna ask lennon and ima ask donny and ima ask stevie and ima ask prince if im in love if im in love my headphones wont lie if im in love tell me tell me if im in love my headphones wont lie if im in love tell me tell me am i in love 
J.O.B.,The Lonny Breaux Collection, i catch zs at work now so theyre gonna fire me soon but ive been dreamin of our love i wish my new day job was you but they say my checks come from the bank and not your heart they tell me think with my brain like im sane and not my heart but if my job was only to love you yeahh there wouldnt be no recession be no recession aint no depression depression if my job was only to love you yeah there wouldnt be no stressin be no stressin aint no pressure cause it pays way better baby it pays way better baby yeahh my boss works my nerves girl if you knew him youd wanna quit too i just know hes jealous cause hes lonely and ive got you if i left this place today with the love that we made id be paid for the rest of my life rest of my life i love you the rest of my life oh be paid for the rest of my life ohhh ohhh ohhhh ohhh ohhhh 
James Fauntleroy - Dying For Your Love,The Lonny Breaux Collection, do u remember that october night thats when i almost lost my life found myself being a hero trying to guide your heart no matter how hard i fought was over before it started i thought that we were always inside of the battle im on the front line of disaster now all makes sense ive put it together guess what we have doesnt matter got me dying every night just because got me fighting every night to prove my love we never get enough of fighting in the club im dying for your love i dont know what u want you got me fighting every night to prove my love all i ever did was just try to play my part try to be the man who would not let u be taken advantage of but u let it go on and everytime i see you when im out i wanna crack his dome now tell me that im wrong but i thought we were always inside of the battle im on the front line of disaster now all makes sense ive put it together guess what we have doesnt matter got me dying every night just because got me fighting every night to prove my love we never get enough of fighting in the club im dying for your love i dont know what u want you got me fighting every night to prove my love you got me dying fighting every night dying fighting every night you have me dying every night just because you got me fighting every night to prove my love we never get enough of fighting in the club im dying for your love i dont know what u want you got me fighting every night to prove my love always inside of the battle 
Kamikaze,The Lonny Breaux Collection, look up look up look up youll see the last line in the air reach out reach out try to catch one if you can oh right now theyre flying circling and coasting the sky when they come crashing down itll be the worst surprise but you just right stand there you aint looking round and baby you wont never see it coming causing kamikaze on theyre way down to you but you wont never see em oh no youll never know hes lying till you look up and i bet youd catch it if you took a sec to look up i know the truth is blinding but you gotta look up or youll never see it coming youll never see it coming feels like im on the 30th floor starring out my window see them they about to crash right into you youre marching on the sidewalk umbrella up oblivious no clouds shades on no sun oh right now theyre flying circling and coasting the sky when they come crashing down itll be the worst surprise but you just right stand there you aint looking round and baby you wont never see it coming causing kamikaze on theyre way down to you but you wont never see em oh no youll never know hes lying till you look up and i bet youd catch it if you took a sec to look up i know the truth is blinding but you gotta look up or youll never see it coming youll never see it coming look up look up you better look all around all around baby you better look up look up i know theyre coming down coming down theyre coming down look up you better look up look up look up look up look up but you just right stand there you aint looking round and baby you wont never see it coming causing kamikaze on theyre way down to you but you wont never see em oh no youll never know hes lying till you look up and i bet youd catch it if you took a sec to look up i know the truth is blinding but you gotta look up or youll never see it coming youll never see it coming look up look up and baby youll see the light youll see him flying look up look up youll see the lies no look up look up flight 143 took off a minute ago flight 143 was just on the ground 
Know Better,The Lonny Breaux Collection, hey let me tell you something dont be frontin like he ever did it like i does it every time you wanna argue and stress you always say you couldve stayed with your ex well i guess you coulda but deep inside i know that you dont wish you woulda cuz when you was with him you was always checking for the kid late night coming to my crib i i know that youll never find another nigga with a swag like me he aint quite me like me i i i i i know you better i know better i know better i know better i know better i know better i know better i i i i i know you better so so so tell tell me tell me something you really think itd be that easy just to let me go i know i try to play it cool when we fuss but truth be told my heart would be crushed im tryin to settle down you know could make you smile tell me who tell me who i i know that youll never find another nigga with a swag like me like me like me i i know that youll never finda i i i i i know you better i know better i know better i know better i know better i know better i know better i i i i i know you better so so so baby i know that without you id be broken down but youd feel the same if i went away why cant you just say it just say it just say it forget it baby its cool cuz i already know i i know that youll never find another nigga with a swag like me he aint quite me like me i i i i i know you better i know better i know better i know better i know better i know better i know better i i i i i know you better i i know that youll never find another nigga with a swag like me like me like me i i i i i know you better i know better i know better i know better i know better i know better i know better i i i i i know you better 
Lights,The Lonny Breaux Collection, donald trump said buy an apartment wit her buying an apartment wit ya greenspan said the rate was good my pastor says that your faith is major best friend said i ought to wife you today like jumping over the broom the white dress and all yup the rice and all they said you love that girl you need that girl but dont you let her go not ever not ever no who goin solo baby i know you told em baby watch you you tell em baby its cool its cool but the lights is gonna be on us thats the reason why i kept this love in the dark cuz the lights are gonna be on us let em know them lights will never turn off but its cool cuz this love will keep us cool this love will keep us cool this love will keep us cool your father really likes me he calls me son your brother i think he hates me but you say thats how you know its right your mother invites me to dinner all of the time only thing shes been grilling is me keep telling her i love that girl i need that girl i wont let her go not ever not ever no who goin solo baby i know you told em baby watch you you tell em baby its cool its cool but the lights is gonna be on us thats the reason why i kept this love in the dark cuz the lights are gonna be on us let em know them lights will never turn off but the lights is gonna be on us thats the reason why i kept this love in the dark cuz the lights are gonna be on us let em know them lights will never turn off its strobing baby and they burning baby but dont worry baby just stay close to me they flashing its like dynamite this love will keep us about 55 degrees dont mind the lights dont mind the lights the love is gonna keep us cool the love is gonna keep us cool but the lights is gonna be on us thats the reason why i kept this love in the dark cuz the lights are gonna be on us let em know them lights will never turn off but the lights is gonna be on us thats the reason why i kept this love in the dark cuz the lights are gonna be on us let em know them lights will never turn off but its cool cuz this love will keep us cool this love will keep us cool this love will keep us cool 
Lonny (New Mix),The Lonny Breaux Collection, ohh oh ohhh baby i know ive been gone i know its been so long and girl i hope you missed me cause you know ive been missing ya baby missing my baby though we talk on the phone everyday but that just dont do it for me i need ya around me i cant be without you shorty my plane just now touched down im a send a car to come get you from your house so be ready in a hour just be ready we only got one night the suns gone be setting in awhile we still got moonlight im down for whatever right now oh when the sky startssky starts changing sweet love well be making ohhh just tell me open up the door girl you got me throwed off cause whenever you kiss me girl you can feel my heart beat nooo look into your eyes pretty waves of brown if you only knew what im thinking about but now youre right here ohh and now its so real shorty my plane leaves at 9 am tomorrow but between then and now we came to fuck ohhh we only got one night the suns gone be setting in awhile we still got moonlight im down for whatever right now oh when the sky startssky starts changing sweet love well be making ohhh just tell me hey yo we got one yo we got one yo we got one hey yo ohh baby im a take it slow i dont wanna let you go never let go ohh i know you been patient been waiting for this moment right here right now we only got one night the suns gone be setting in awhile we still got moonlight im down for whatever right now oh when the sky startssky starts changing sweet love well be making ohhh just tell me hey yo we got one yo we got one yo we got one hey yo ohh baby im a take it slow i dont wanna let you go never let go ohh i know you been patient been waiting for this moment right here right now 
Lost Angel,The Lonny Breaux Collection, stop the truck hand my keys to the valet thats the moment that i see her as she leaving i say excuse me how could i convince you to stay then my phone goes to ringing in ringing in but i gotta answer this call could you wait it really wont be long told me he was my biggest fan camera flashes turn around and shes already gone howd i get distracted i dont know what happened i turn back around and i was just one step too late oh you got away away you flew away away ooooh i lost my angel in la la has anybody seen her im out here checking for my angel in la la im posting pictures of her she got me driving around the backstreets i thought i saw her walking right past me i called you didnt answer to your name wheres my angel whered you go whered you go whered you go howd i get distracted i dont know what happened i turn back around and i was just one step too late oh you got away away you flew away away ooooh i lost my angel in la la has anybody seen her im out here checking for my angel in la la im posting pictures of her she got me driving around the backstreets i thought i saw her walking right past me i called you didnt answer to your name wheres my angel whered you go whered you go whered you go oh angel tell me what am i to do angel i cant find another you angel search downtown now im on the 10 west doing 90 tryna get to you exit la cienega im looking im searching la brea santa monica sunset sepulveda robertson melrose and hollywood i lost my angel in la la has anybody seen her im out here checking for my angel in la la im posting pictures of her she got me driving around the backstreets i thought i saw walking right past me i called you didnt answer to your name wheres my angel whered you go whered you go whered you go angel in la la has anybody seen her im out here checking for my angel in la la im posting pictures of her she got me driving around the backstreets i thought i saw walking right past me i called you didnt answer to your name wheres my angel whered you go whered you go whered you go 
Love On My Piano,The Lonny Breaux Collection, i just wanna make love play a couple chords jump on board if you wanna ride out imma hit a few keys bring you down to your knees so you dont wanna leave now i got you up in my house now fix you up another mai thai no sun on the horizon lets make a song for the night time i just wanna make love on my piano i just wanna make love on my piano i just wanna make love love on my piano love love on my piano stroke of harmony kiss you on your neck im changin up your voice sound ima do what i said and take you to the bridge and make you climax now now we switching up the melody we take it down to a minor stage we making noise like we cant believe lets put this moment on replay oooooh girl whatcha you wanna dooo back it up back it up back it up up up i think i got a cluuue girl whatcha you wanna doooooo you wanna make love love on my piano love love on my piano 
Miss You So,The Lonny Breaux Collection, ill stack these magazines in the corner after im done with them and i still got the same hope that i started with that youll be in one of them my camera shed some tears since you left him with nothing with nothing how am i supposed to remember i got the memories but memories fade baby what am i gonna show to my kids girl when im older and my mind is telling me to forget you whats gonna make me remember thats why i was always taking pictures pictures cause i didnt wanna miss a thing miss a thing tell me how could you take the pictures pictures when you knew they were all that i had left nothing left they were part of our history this story i was always taking pictures cause i didnt wanna miss you so bad miss you this bad miss you so bad miss you so we didnt make love we celebrated its invention confetti on the mattress i used to have those images tonight i came home they were just embers in the fire along with my hard drive no no slow goodbye how the hell am i supposed to remember tell me now have the memories but memories dont last what am i gonna show to my kids baby when im older and my minds telling me to forget you whats gonna make me remember thats why i was always taking pictures pictures cause i didnt wanna miss a thing miss a thing tell me how could you take the pictures pictures when you knew they were all that i had left nothing left they were part of our history this story i was always taking pictures cause i didnt wanna miss you no videos no polaroid no record of the love we had my nikon wasnt fast enough to catch my heart break in half no smiles on my picture frame no just got them little basic ones that the pictures frames come with model wedding picture you know thats why i was always taking pictures pictures cause i didnt wanna miss a thing miss a thing tell me how could you take the pictures pictures when you knew they were all that i had left nothing left they were part of our history this story i was always taking pictures cause i didnt wanna miss you so bad miss you this bad miss you so bad miss you so 
No Bonnie,The Lonny Breaux Collection, im running from the man im running from my flag i made love to my lady before i packed i left her while she slept i put eightyseven grand cash in the glovebox i left the keys to the car by the bed cause i got her oh i wish she could be the bonnie to my clyde but i wont risk her life for mine no oh not for mine no bonnie no bonnie im sorry so sorry im running water through my hands and flipping pictures in my head of her i wish i taught the girl how to shoot a gun so i wouldnt worry as much oh last night i put eightyseven grand cash in the glovebox i left the keys to the car by the bed cause i got her no bonnie the money should last awhile but i know without a dime she got me when the feds come around she got me no snitching allowed from my baby my bonnie my bonnie hook x2 no bonnie no bonnie im sorry so sorry so sorry no bonnie 
No Love,The Lonny Breaux Collection, okay thought about it for a minute cant let love go spinnin down the drain now youre my homie baby youre my homie simple math pen pad gotta work out youre my homie baby youre my homie but youre my only baby youre my only just grab a pencil dont you wanna help out it cant be hard gotta find the answers to the problem aint no answers here without you no been writin all day fillin my page tryna fix this wrackin my brain no love still been writin all day tryna work it out waiting on you cant do it by myself no love still no love okay im gonna tell you everything the whole truth not fractions of a bad lie youre my homie baby youre my only shes the past shes my future my right now youre my homie baby youre my homie and im sorry girl you gotta know it grab a seat just try to hear me out boy i know its hard wish i could use a calculator but it wont even work cant use an elevator to get back up to you never had a clue 
Non-Stop,The Lonny Breaux Collection, im knocking on your door and its cold yes its cold but i brought your favorite flowers teddy bear and a card cause i know that loving me is a chore its a chore but i wont stop loving you thats for sure thats for sure you could open your window baby and ask me to go away but theres no way no how ill stop loving you its none stop oh no oh no oh no it wont stop oh no oh no oh no this love is gonna keep going it aint gonna slow its none stop oh no oh no oh no i sat down in my car not to leave just to park im still not losing hope though the sky is getting dark i wish youd just peak out the blinds to my heart but you turned your bedroom light on well at least thats a start said im sorry oh baby but the love wont stop no no nah uh take me back oh love take me back cause the love will keep flowing on the love will keep flowing on 
Ohh In Love,The Lonny Breaux Collection, fairytales come and take my hand turn the page and help me understand maybe ive fallen in love again if i know how the story ends her song has me looking for traces of my melody and im slowly humming singing the simple phrase and not another she can deny caught in the soundwaves she can feel my every love yes im falling but cant seem to find the words for her yeah so in love ohh in love ohh in love ohh in love i want to be the song she loves and i never thought id say this baby found a way to whisper it everything i wanted her to hear said i would catch her every tear hold her through the many years so long ive been looking for chances for this heart in me now i know that shes the lyric and the tune that explains the meaning of life there is no music without her to give it to me yes im falling but cant seem to find the words for her yeah so in love ohh in love ohh in love ohh in love i want to be the song she loves and i never thought id say this baby so in love ohh in love ohh in love ohh in love i want to be the one she loves and im hoping that she claims me ohh in love 
Old Terror,The Lonny Breaux Collection, no baby no give me that dont touch that could you please be still no baby you cant have that until you eat your dinner guess i got to feed you like a baby girl youre the cutest youre the cutest thing but you cant always get your way like a baby girl i want to keep that smile on your face oh boy but it aint easy you dont make it easy youre old enough to drink but when it comes to love you think just like a two year old terror twenty two year old terror temper tantrums out of bound cause you want it when you want like a two year old terror twenty two year old terror now you know you should be sleeping but ok ill give you ten more minutes weve been sleeping in the same bed cause you been having nightmares and you need me here i guess i always treat you like a baby girl youre the cutest youre the cutest thing oh yeah but you cant always get your way like a baby girl i want to keep that smile on your face oh ha but it aint easy no it aint easy youre old enough to drink but when it comes to love you think just like a two year old terror twenty two year old terror temper tantrums out of bound cause you want it when you want like a two year old terror twenty two year old terror youre old enough to drink but when it comes to love you think just like a two year old terror twenty two year old terror temper tantrums out of bound cause you want it when you want like a two year old terror twenty two year old terror you want love well no more sugar for you you dont know to act so no more sugar for you youre jumping off the walls no more sugar for you i said aint no sugar for you well just a little bit but youre old enough to drink but when it comes to love you think just like a two year old terror twenty two year old terror temper tantrums out of bound cause you want it when you want like a two year old terror twenty two year old terror youre old enough to drink but when it comes to love you think just like a two year old terror twenty two year old terror temper tantrums out of bound cause you want it when you want like a two year old terror twenty two year old terror love my baby but she terrorize me yeah oh but yeah i love my baby but she terrorize teterrorize me 
One Look,The Lonny Breaux Collection, ive seen it and i liked it more i told myself i had to have it i look but i do not touch wondering why you walk like that there was something in those jeans locked up it was dying to be free and it was bound to happen ohhhh didnt have a pick up line to use way to cool way too cool ohh whoa whoa ohh and instead im hoping youre watching me too like i watched you it took one look ohhh just that one look ohhh what was i to do but look ohhh didnt stop staring ohhh couldnt run away from you no didnt stop no just took on look thats a good look baby thats a good look darling thats a good look good look thats a good look my eyes must have been on drugs you calling me check me so crazy i couldnt see the floor beneath you but baby i could see you pacing on thin air midair no long brown hair swinging no red bottoms in your high heels like im watching a bluray you didnt know what to say im way too cool way too cool yeah yeah yeah yeah and i you know im hoping youre watching me too oh yeah you know its true it took one look ohhh just that one look ohhh what was i to do but look ohhh didnt stop staring ohhh couldnt run away from you no didnt stop no just took on look i wanna stare at you some more when i can feel you in my soul im not looking from the outside i could feel you i wanna grab that body touching that booty feeling on your booty say that you love it and you said its all mine it took one look ohhh just that one look ohhh what was i to do but look ohhh didnt stop staring ohhh couldnt run away from you no didnt stop no just took on look it took one look ohhh just that one look ohhh what was i to do but look ohhh didnt stop staring ohhh couldnt run away from you no didnt stop no just took on look thats a good look baby thats a good look darling thats a good look good look thats a good look thats a good look baby thats a good look darling thats a good look good look thats a good look 
Open Air,The Lonny Breaux Collection, i had my feet in the water right when i was about to get up suddenly i caught ya with a hook line a sinker you were swimming at the bottom yeah i said why you gon live down there well baby you can love up here on land what a difference it makes youll see what a difference it makes to breathe what a difference it makes it easy to love the open air makes it easy to love the open air makes it easy to love i swear the airs so much better up here than down there the open air makes it easy to love you said youre feeling ways that you never couldve felt under all that pressure used to it being dark at night youre kinda afraid of the lights but you still crack a smile because it makes you feel alive what a difference it makes youll see what a difference it makes to breathe what a difference it makes it easy to love the open air makes it easy to love the open air makes it easy to love i swear the airs so much better up here than down there the open air makes it easy to love baby i could show you the world the seed thats inside of my heart baby dont know how you got on land in the first place just promise you wont go back again its better up here you know just trying my best to show you but you started feeling like youre floating higher higher dont ever go under no more the open air makes it easy to love the open air makes it easy to love i swear the airs so much better up here than down there the open air makes it easy to love the open air makes it easy to love the open air makes it easy to love i swear the airs so much better up here than down there the open air makes it easy to love 
Overload,The Lonny Breaux Collection, oh oh oh oh oh oh oh i know i left with these heavy thoughts they been on my mind oh i i got cargo with me all those memories feel like a thousand pounds on my in my bed trying to sleep the ceiling lowers down i feel it on me now i been moving buses further and further i just cant do this alone i just cant do it alone i been pulling airplanes higher and higher i just cant move them alone and i just cant move them alone its too heavy for me overload overload overload take over for me its too heavy for me overload overload but no superman will save me but can somebody lend a hand its too heavy for me overload overload overload drag my life along by the end of a rope trying to make by im trying on the other side someones tuggin hard they only getting stronger balance bricks on shoulders with the grit in my shoes im not strong enough help me up help me out i been moving buses futher and futher i just can do this alone i just cant do it alone i been pulling airplanes higher and higher i just cant move them alone and i just cant move them alone its too heavy for me overload overload overload take over for me its too heavy for me overload overload but no superman will save me but can somebody lend a hand its too heavy for me overload overload overload take over for me its too heavy for me overload overload but no superman will save me but can somebody lend a hand its too heavy for me i been tryin to hold up the world with both my hands been holding the world in both my hands cant hold up the world its coming down its coming its too heavy for me overload overload overload take over for me its too heavy for me overload overload but no superman will save me but can somebody lend a hand its too heavy for me overload overload overload overload overload overload 
Private Show,The Lonny Breaux Collection, yeah bring it up for a kid in the club what the time is i wanna play with you baby can you hear me oh its a sold out crowd im kinda nervous and they yellin my name out can you hear em ohhhhhh oh i would cancel if i could ohhhhhh and if you said i loved you then i would make it a private show intimate affair sittin in the front row only ones here said you want a private show said you want a private show if you want a private show close the club then close the club then close the club then private show intimate affair dancin in the front row only one here said you want a private show said you want a private show and you want it gotta have your backstage pass in order i really love my fans so we gotta move quickly i want something this year dont shout out encore you can sing along to my songs and then then a round of applause then girl hhh oh i would cancel if i could ohhhhhh and if you said i loved you then i would live so much better than the radio betbetter than the radio live so much better than the 
Quickly,The Lonny Breaux Collection, if i had 20 million dollars in the vault somewhere baby it wouldnt matter anyway yeah cause the doctor told me that im dying slowly so i guess i gotta love you while im here baby did you know news said that the sky is fallin the globe is warmin my countrys warin the leaders a liar time is runnin lower and lower babe lower babe i know we just met but baby could you love me quickly quickly i want you to love me like ya know the worlds about to end end baby quickly told me i dont even know your name i said well then we mine as well make ours the same what you think baby vegas might as well be light years away so we better lay under the stars before they crashin down cause i heard thats right baby kiss me like the world is wicked like the earth is shakin you got it baby thats right love me feel me like our time is sprinting faster running out on us i know we just met but baby could you love me quickly quickly gotta love me like you know the worlds about to end baby quickly yeahh barely know me baby but you gotta love me quickly quickly ohhh gotta love me like you know the worlds about to end baby quickly gotta love me baby quick now gotta love me baby quickly now gotta love me like you know the worlds about to end baby quickly lou said the sky was fallin yeah lou said ohh na naaa 
Read The Stars,The Lonny Breaux Collection, i heard my teacher say that id be better off if i just took what ive been given they say i never know what to do unless im told i feel underestimated so unaccounted for then you want to call me to your office right after school and tell me your version of my future but lets take all the frames off the walls i wanna see one diploma that says you can read the stars dont talk me out of it dont talk me out of it its my life dont talk me out of my life its my life i used to put an apple on ms jacobs desk but she never liked me she said im gon fail no matter what i give she said cause my skin wasnt light enough tuition wasnt high enough i couldnt understand just what i did so underestimated you left me unaccounted for now you want to me your version of my future but lets take all the frames off the walls i wanna see one diploma that says you can read the stars dont talk me out of it dont talk me out of it its my life dont talk me out of my life its my life just tell me how youre much better than me now you tore me down till there was nothing left look at me look at me look at me look at me im still standing look at me look at me now look me in my eyes but lets take all the frames off the walls i wanna see one diploma that says you can read the stars dont talk me out of it dont talk me out of it its my life dont talk me out of my life its my life its my life its my life 
Ready,The Lonny Breaux Collection, baby i know ive been gone i know its been so long and girl i hope you miss me cause you know i been missing you baby missing you baby yeah we talk on the phone everyday but that just dont do it for me i need you around i yeah cant do without you shawty my plane just now touched down im a send a car to come get you from your house so be ready in an hour just be ready we only got one night the suns gon be setting in a while open up the door girl you got me throwed off cause when you came to kiss me yeah can you feel my heart beating ohh look into your eyes pretty hazel brown if you only knew what im thinkin bout cause im right here and im so real shawty my plane leaves at 9 am tomorrow but between now and then we can go far oooh we only got one night the suns gon be setting in a while ayoo we got one yoo we got one yoo we got one ayooo oh baby im a take it slow cause i dont wanna let you go never let go oh i know youve been patient waiting for this moment right here right now oooh oooh we only got one night the suns gon be setting in a while ayoo we got one yoo we got one yoo we got one ayooo 
Real,The Lonny Breaux Collection, ever since you came into my life i been movin closer to tryin to build a vault around the both of us when youre gone baby i aint cool no i aint cool no i cant move and i dont know what the hell is happening to us but i dont wanna know because it feels like somethin that i want and baby i aint never fell in love but if this is what they talk about then i dont ever wanna get out they say its infatuation i say i dont care what you name it baby im losin my air i cant breathe love and i feel like im blind i cant see it love and as sweet as it is i cant taste it but i know its real love real real love as the sky is blue as the moon and the air change colors real im in love with you for real for real no i dont care who wants to question us or break us up cause id lose a thousand friends for what i got wit you right here baby im all good yup im all good ah im all good oh and i dont want nothing but your heart and trust every little tender touch and i know love aint only made for us but i feel like we own it feel like we own it and i already know what they say they swear that we will never make it but if i lost you today itd be real just the same oh i know it all cant be just a figment of imagination a dream that wont come true girl i know it all cant be just an illusion i know what you doin to me 
Richest Man In The Room,The Lonny Breaux Collection, got a heart full of gold that i own the clothes on my back and a pant suit i control my own money you wouldnt even tell the difference but i just cant sketch the feeling i get when youre not home or recreate the paintings youve hung onto my soul oh oh but i bet theyre worth millions oh beautiful works of love oh im a go to all the fancy places all the fancy people and they cant tell me nothing nothing cause they all want what i got and i aint got nothing but you nothing but you nothing but you they cant buy what i got cause i aint got nothing but you nothing but you nothing but you im the richest man in the room im the richest man in the room im the richest man in the room she got a heart made of glass whats inside of this like hidden in a bottle now what would that be worth in your museum recently we traded and now that hearts my own and since were sewed together i feel like i got both oh and i bet theyre worth millions oh beautiful works of love oh im a go to all the fancy places all the fancy people and they cant tell me nothing nothing cause they all want what i got and i aint got nothing but you nothing but you nothing but you they cant buy what i got cause i aint got nothing but you nothing but you nothing but you im the richest man in the room im the richest man in the room im the richest man in the room time itself wants what i got so i dont care about what youve got all i know is my girl is special you make me better baby you make me happy baby nobody needs to remind me exactly why im the richest man in the room cause they all want what i got and i aint got nothing but you nothing but you nothing but you they cant buy what i got cause i aint got nothing but you nothing but you nothing but you cause they all want what i got and i aint got nothing but you nothing but you nothing but you they cant buy what i got cause i aint got nothing but you nothing but you nothing but you im the richest man in the room im the richest man in the room im the richest man in the room 
Rocket Love,The Lonny Breaux Collection, three minutes forty five seconds and counting well still go at this time listening to star treks star tracks on the track to stars and back only after we get to the end passing planets feeling small on the mattress floating off how you breathing up here with nothing on nothing on baby girl but you look good in your spacesuit i cant keep my hands off you plus its easy to love you oh up here up here im a take it slow slow while the rockets burn they burning well be making love baby rocket love rocket love ooh two minutes ten seconds and counting the candles burning in the sun we dont need them but you like them they glow they glow oh yeah we were at the bar for quite a while took some time but we collided big bang big bang look at what we made beautiful you look good in your spacesuit i cant keep my hands off you plus its easy to love you oh up here up here im a take it slow slow while the rockets burn they burning well be making love baby rocket love rocket love ooh we can make believe that were up there but were only in the backseat of this eclipse ooh if the lights go by that means the cops flew by but they wont bother us no no no no im a take it slow slow while the rockets burn they burning well be making love baby rocket love rocket love ooh twenty seconds and counting fifteen seconds and counting twelve eleven ten nine ignition sequence starts six five four three two one zero all engines running liftoff we have a liftoff 
Scared Of Beautiful,The Lonny Breaux Collection, turn a lamp on let me talk to you see that light bulb does something to you makes it a little harder to tell a lie dont it make it difficult to run and hide dont it tell the truth to me good truth to me come close to me if thats you i wanna see the details inside those beautiful eyes the lies myself aint never talked to me like that before i wonder what on earth hes searching for no wonder why theres no mirrors on these walls no more you cant tell me why youre so terrified of beautiful scared of the good more than the evil scared of the light more than the dark scared of the truth so much more than the lie im scared for you im scared of you scared of beautiful just turn the lamp down dont talk to me that light bulb took something from me or gave something to me i cant decide i cant decide took freedom gave purpose cant blend in too perfect all this beauty ever gave me was a reason for some beautiful thighs myself aint never talked to me like that before i wonder what on earth hes searching for no wonder why theres no mirrors on these walls no more you cant tell me why youre so terrified of beautiful scared of the good more than the evil scared of the light more than the dark scared of the truth so much more than the lie im scared for you im scared of you scared of beautiful mirror mirror on the wall who is the fairest of them all mirror mirror oh youre so unfair to all of the beautiful ones no wonder why theres no mirrors on these walls no more you cant tell me why youre so terrified of beautiful scared of the good more than the evil scared of the light more than the dark scared of the truth so much more than the lie im scared for you im scared of you scared of beautiful 
She Won't Say Hello,The Lonny Breaux Collection, youre my best friend what was cooler than us whole school already knew what it was kiddy crushing puppy loving you know ah you are my high school wifey college made it different i stayed at home and you didnt you got a scholarship to michigan state drove my heart 2000 miles away and now i sit at home answer the phone missing wishing she would call and say hello say hello im in the zone readjusting to the fact shes been gone and im alone im alone keep playin the same songs in my car hung up cause she aint on the passenger the passenger and i cant even play madden any more oh no because i cant pester her pester her she wont say hello hello hello she wont say hello hello hello nah nah she wont my best friend wish i could have went with her cant afford to visit her let alone stay but i wanna really wanna oh we did everything together now im missin all the silly shit the way she bit her bottom lip after we kissed and its enough the counting the days im praying are ya come back again and now i sit at home answer the phone missing wishing she would call and say hello say hello im in the zone readjusting to the fact shes been gone and im alone im alone keep playin the same songs in my car hung up cause she aint on the passenger the passenger and i cant even play madden any more oh no because i cant pester her pester her she my baby what am i to do without her whoa ive been losing patience calling her and now i sit at home answer the phone missing wishing she would call and say hello say hello im in the zone readjusting to the fact shes been gone and im alone im alone keep playin the same songs in my car hung up cause she aint on the passenger the passenger and i cant even play madden any more oh no because i cant pester her pester her she wont say hello hello hello she wont say hello hello hello nah nah she wont 
Simply,The Lonny Breaux Collection, these hands that i pray with for just one more chance also took off the dress of that woman im a simple man got some simple problems are simple simple mistake simply made it so hard for you to love me its simply hard but i gotta get back to ur love im simply wrong but i still wanna hold ya its simply hard so hard simply hard but i gotta get back to ur love ur love my mother say son dont break her heart and staying in love wont be so hard its simple say i love you i do i do and meant it like its over over over and over simple man couple simple problems one simple simple mistake simply made it so hard fo you to love me its simply hard but i gotta get back to ur love im simply wrong but i still wanna hold ya its simply hard so hard simply hard but i gotta get back to ur love ur love i wish i could simply say im sorry baby ooooh i wish you say you simply cant fall out of love love with me then maybe we could move one move on get on with our hearts with ours lifes cause its simply to short without love 
So Comfortable,The Lonny Breaux Collection, im afraid to say it dont want you to think im playing my mistakes take the pretentiousness down like im standing naked hear the crowd and i sorry i know that im wrong yeah im wrong if i could id go back im exposed give me back my clothes cause i just cant take it but look at you loving a fool making it easy i guess its cool naked with you already seen me oh you got me so comfortable even when im wrong comfortable you dont mind them flaws youve already seen them all still got me feeling so comfortable feeling so comfortable you keep on forgiving rewrote all my wrongs in pencil when you stay it makes me forget that im down now its all so simple till the end even when i look dumb like i do when i lie feels so good letting go im exposed you can have my clothes cause im not afraid but look at you loving a fool making it easy i guess its cool naked with you already seen me it dont matter it dont matter no youve seen it all before it dont matter it dont matter youve seen it all before it dont matter it dont matter no youve seen it all before so comfortable so comfortable so comfortable 
So Fresh,The Lonny Breaux Collection, so fresh and i know i was in love with you first moment i met you butterflies had me floating in the air thats how it felt first word that i spoke it made you smile cause i got a little stuck you laughed in my face but i didnt care cause it started the conversation that led to our first date the old folks used to tell me id know it when i felt it i know its true if theyre just like you so fresh first time that i closed my eyes leaned in and your lips touched mine so fresh like my favorite record i swear you could play forever 
Standing Still,The Lonny Breaux Collection, mafia im standing by your locker in the hallway after class swear im amazed the drawing in my binder every picture i put a halo on your head yeahhhhhhh im on waitin on my angel my first love my first kiss my second my third the one my mommma like so much im standin still for ya waitin im standin still til you in there as the time flies faster baby you could fly fly faster baby im standin standin still im standin still standin still oh standin still saturdays im at the snow cone spot tryin to guess your favorite flavor im thinkin cotton candy maybe im fallin and i placed it on the table next to me i wish you could taste it cause its slowly melting while the rain storm takes over outrageous baby ill be standing here seconds forward or decades later ill be right there oh no matter what ill be here however long im standin still standin still ohh standin still 
