track,album,lyrics
Nature Feels,"Nostalgia, Ultra", ive been meaning to fuck you in the garden been breathing so hard we both could use the oxygen just hop on my back ill take you down the stairs into my backyard then lay you right on the grass give it to you over again over again over again over again see making love underneath the cherry leaves babygirl tell me how my nature feels said aww baby oh baby up against the cherry tree babygirl ill give it to you naturally naturally ohh see feeling like adam when he first found out this existed me and my eve trying out our first positions and its all good and its all free and its all you and its only me playing in the dirt wrestling myself inside you give it to you over again over again over again over again making love underneath the cherry leaves babygirl tell me how my nature feels said aww baby oh baby up against the cherry tree babygirl ill give it to you naturally my cavewoman im a caveman doing wild things in a wild land we keep going baby we keep getting it baby well get pebbles maybe a couple bam bams bam bam bang bang girl your heart goes bam and bang feel my heart go go go 
Acura Integurl,The Lonny Breaux Collection, she singing bitch im paid thats all i gotta say im like who knew that after all the years id make a weezy fan out of you too when i met you you were thom yorke chris martin and u2 when you met me i was three 6 pimp c bun b 8ball and mjg yeah but were both a long way from home we got the windows down the radios on always i wrote a letter to the sky saying maybe one day youll get to kiss me my girl found it in the car and said baby why you trying to diss me cause you know youre my baby you know youre my baby ooh im not just in it for the pride in it for the ride yeah 
Bedtime Story,The Lonny Breaux Collection, my pillows aint giving no comfort and the fan is blowing too loud even my heartbeat wakes me up and i cant drown it out cause my eyelids aint heavy enough and there aint enough sheep on the ceiling to count aint slept a wink since you left me no inspiration to dream baby youre my bedtime story bedtime but i cant sleep no bedtime story bedtime story oh i never really liked this apartment no theres not enough windows that aint the reason you left i did that by myself but i wish youd come back before the sun comes up again cause my eyelids aint heavy enough and there aint enough sheep on the ceiling to count aint slept a wink since you left me no inspiration to dream baby youre my bedtime story bedtime but i cant sleep no bedtime story bedtime story oh you gotta let me read just a page of you baby you gotta help me sleep this aint healthy no way wheres my bedtime story just three words to my bedtime story bedtime story oh every time i lay my head down baby i baby i im thinking of you baby i im thinking of you every time i lay my head down baby i baby i im thinking of you baby i im thinking of you aint slept a wink since you left me no inspiration to dream baby youre my bedtime story bedtime but i cant sleep my bedtime story bedtime story you gotta let me read just a page of you baby you gotta help me sleep this aint healthy no way wheres my bedtime story just three words in my bedtime story bedtime story oh i love you i love you 
Blasted,The Lonny Breaux Collection, shes the prettiest girl ive ever seen on a skateboard and im just a guy with a couple of open ears for her she told me every story behind all of her tattoos shes thinking maybe the next one should have something to do with you to do with me ohh oohhh ohhh okay well you gotta do mine in color ohh oohhh ohhh cause all of your exes are in black and white you wanna get blasted yeah cause you know this love is gonna last and now we getting blasted uhh cause i couldnt let you do it by yourself my feelings go deeper than the ink it goes deeper deep in to your soul she said you should get a rubix cube over your heart ohhh yeah but you say ive already figured it out already figured out the love she want me to get a spaceship tatted inside of my lip oohhh ohh cause thats what she feel like she on when we on each other loving on each other kissing on each other ohh oohhh ohhh okay well you gotta do mine in color ohh oohhh ohhh cause all of your exes are in black and white you wanna get blasted yeah cause you know this love is gonna last and now we getting blasted uhh cause i couldnt let you do it by yourself my feelings go deeper than the ink it goes deeper deep in to your soul paper to pen needle to skin im in the chair and shes over there taking these pictures and blowing me kisses when i ask her to hold my hand she told me to take that ink like man told me take that ink like a man she told me that you wanna get blasted cause you know this love is gonna last and now we getting blasted cause i couldnt let you do it by yourself my feelings go deeper than the ink it goes deeper deep into your soul you know it 
Bricks And Steel,The Lonny Breaux Collection, if a tree fell in the forest and no one was around to hear it baby does it go boom does it go boom if i have love for ya but you were never close enough to feel it is my love any good is my love any good oh but the distance aint even a room away youre laying in the bed right next to me but there might as well be a brick wall in between us some soundproof glass and some bars in the middle oh baby when i wanna talk to you im conversing with bricks and steel a pile of bricks and steel and when i tap your shoulders youre cold as bricks and steel a pile of bricks and steel and how do i stay in love with you ravish all the the leftovers and garbage was it ever real if you were never here bricks and steel walk around the kitchen like a pile of bricks and steel bricks bricks steel steel i know youre somewhere in there sometimes i wanna pick up a hammer and start chiseling away away chiseling away away girl my phone bill is crazy the rate is sky high when i call ya but you only let it ring you only let it ring no ohh but the distance aint even a room away youre laying in the bed right next to me oh but there might as well be a brick wall in between us some soundproof glass and some bars in the middle oh baby when i wanna talk to you im conversing with bricks and steel a pile of bricks and steel and when i tap your shoulders youre cold as bricks and steel a pile of bricks and steel and how do i stay in love with you ravish all the leftovers and garbage was it ever real if you were never here bricks and steel walk around the kitchen like a pile of bricks and steel bricks bricks steel steel stomp stomp i think i hear em coming down the hall he dont hear a word i say at all im wishing these 4 walls could talk talk oh stomp stomp i think i hear em coming down the hall and he dont hear a word i said ohh ohhh ohhh oh baby when i wanna talk to you im conversing with bricks and steel a pile of bricks and steel and when i tap your shoulders youre cold as bricks and steel a pile of bricks and steel and how do i stay in love with you ravish all the leftovers and garbage was it ever real if you were never here bricks and steel walk around the kitchen like a pile of bricks and steel bricks bricks steel steel 
Broken Pieces,The Lonny Breaux Collection, reminiscing on a younger love blowing kisses to me though the window of the bus daddy told you that i was dangerous but i couldnt stop hustling even if he asked me fast forward now were grownups but how could i forget that loving you was such a rush my future couldve been different but lets just say i wouldnt stop hustling even when you asked me but you knew me well you knew i have a love on a different scale happy as the heavens you could tell im different now but i still carry her with me still it takes a strong young man to survive out here carrying the pieces of two hearts all the broken pieces of two hearts used to have a backpack full of that word now i got a backpack full of this hurt and the broken pieces of two hearts all the broken pieces of two hearts its getting heavy yea 
Can't Be The Last Time,The Lonny Breaux Collection, oh wait a minute baby girl can we just sit down theres a couple things we need to talk about will you get mad at me do you really mean what you say or is it just one of them days when things aint go your way can we talk about it without the shouting i know we got issues dont wanna loose you cant let this thing fall apart know it damn well that i got your heart think its time to rewind and start all over again everybody has their arguments we all have issues that we need to deal with can we talk about it but that dont mean we cant get over it cause it wont be the last time cant be the last time with two hearts one future girl i know its hard but we cant let it go cause they wanna see us apart what im saying is therell be ups and down but it wont be the last time cant be the last time cant be the last time that you get mad at me for forgetting every little anniversary something silly like me leaving up the toilet seat and it cant be the last time when you say i dont do this when you say i dont do that but you know i aint perfect girl no way to explain it but i know we can make it i know we got issues i dont wanna loose you cant let this thing fall apart know it damn well that i got your heart think its time to rewind and start all over again everybody has their arguments we all have issues that we need to deal with can we talk about it but that dont mean we cant get over it cause it wont be the last time cant be the last time with two hearts one future girl i know its hard but we cant let it go cause they wanna see us apart what im saying is therell be ups and down but it wont be the last time cant be the last time girl i love the things you do reminds me of the reasons why im with you like when you walk out the door when your clothes hit the floor you were just about to break up and now we bout to make up uh oh oh oh oh oh ooh whoa girl just say yeaheyyeah oh oh oh oh lets make up yeah yeah ooh everybody has their arguments we all have issues that we need to deal with can we talk about it but that dont mean we cant get over it cause it wont be the last time cant be the last time with two hearts one future girl i know its hard but we cant let it go cause they wanna see us apart what im saying is theyll be ups and down but it wont be the last time cant be the last time 
Day Away,The Lonny Breaux Collection, its 1207 and im thinking bout him 8 minutes ago it was all okay yeah i wish the year was just missing one day im wishing i could forget it cause its still so hard to live with it im humming to the song playing in my head when i first met you and im looking through the pictures in the shoebox under my bed and i swear every conversation that i have someone brings up your name just this one day i dont know maybe if i board a plane i could beat the sunrise ready to grab a hammer and start breaking the clocks no i dont wanna think about him i dont wanna dream about him i dont wanna talk about him i dont wanna call him this day doesnt even exist i keep praying that it wont exist no more clickclicking my heels wishing away the day wish it could have been tuesday just not today could have been wednesday just not today day im clicking my heels wishin away the day wishin the day go away day go away today go away its 647 still thinking bout him walking down 42nd tryna clear my brain he packed his luggage and he left but some of it still remains so for 24 hours ive been sitting here staring at his baggage in my space im humming to the song playing in my head when i first met you and im looking through the pictures in the shoebox under my bed and i swear every conversation that i have someone brings up your name just this one day i dont know maybe if i board a plane i could beat the sunrise ready to grab a hammer and start breaking the clocks no i dont wanna think about him i dont wanna dream about him i dont wanna talk about him i dont wanna call him this day doesnt even exist i keep praying that it wont exist no more clickclicking my heels wishing away the day wish it could have been tuesday just not today could have been wednesday just not today day im clicking my heels wishin away the day wishin the day go away day go away today go away see i dont even wanna think about him or dream about him even just one day is one too long there aint no sense in bringing it up or bringing memory round cause aint no getting back the love thats gone i wont be crying no more and how it unfolds the storm has passed and gone and i wish amnesia would stay i dont wanna remember not even for just one day clickclicking my heels wishing away the day wish it could have been tuesday just not today could have been wednesday just not today day im clicking my heels wishin away the day wishin the day go away day go away today go away 
Denim,The Lonny Breaux Collection, a good pair of dark blues hand washed by me by you we care enough to never let them drag never let them tear weve kept the tags on them so we could remember exactly what it cost us to get here to get this pair to get here to get this pair of ours got a love like denim got a love like denim got a love like denim got a love like got a love like that a love that lasts a love that lasts a love that lasts a love that we can wear got a love like denim good jeans with good care a lifetime of good fade and good wear and what we have here with this is cut from the same cloth cut from the same cloth weve kept the tags on them so we could remember exactly what it cost us to get here to get this pair to get here to get this pair of ours got a love like denim got a love like denim got a love like denim got a love like got a love like that a love that lasts a love that lasts a love that lasts a love that we can wear got a love like denim come on put your hand in my back pocket lets walk out here yeah and let the weather weather us and never mind the sun and never mind the faded cause were strong and we look good in denim got a love like denim got a love like denim got a love like denim got a love like got a love like that a love that lasts a love that lasts a love that lasts a love that we can wear got a love like denim 
Done,The Lonny Breaux Collection, sitting next to your coffee table im trying to fix your cable box again said you couldnt get channel 4 and thats the only one you wanted to watch last week i was walking your dog baby scrubbing your dishes took your clothes to the cleaners i dont mind cause when im done when im done im gonna get every little bit of your love when im done when im done you gonna feel every little bit of my love spend all day in my kitchen slaving didnt even know that i could cook but you say youre tired and youre ready to go ohoh girl you didnt even touch your food last week i was washing your towels scrubbing your dishes took your clothes to the cleaners i dont mind cause well gimme some more baby gimme some more its never enough baby you gotta let me know you need something tell me something gather something to hold baby ill do it 
